Scenario Name,Port,Drops,Link,Hot Ticks,Max Pct,Max Blocks
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,RS_0_0.p3,57,,,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,RS_0_0.p2,57,,,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,RS_0_1.p3,55,,,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,RS_0_1.p2,55,,,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,,,H_0_0.pU<->RS_0_0.p2,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,,,H_0_1.pU<->RS_0_0.p3,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,,,H_0_2.pU<->RS_0_1.p2,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,,,H_0_3.pU<->RS_0_1.p3,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,,,RS_0_0.p0<->FS_0_0.p2,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,,,RS_0_1.p0<->FS_0_0.p3,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,RS_0_0.p3,76,,,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,RS_0_0.p2,76,,,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,RS_0_1.p3,75,,,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,RS_0_1.p2,74,,,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,,,H_0_0.pU<->RS_0_0.p2,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,,,H_0_1.pU<->RS_0_0.p3,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,,,H_0_2.pU<->RS_0_1.p2,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,,,H_0_3.pU<->RS_0_1.p3,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,,,RS_0_0.p0<->FS_0_0.p2,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,,,RS_0_1.p0<->FS_0_0.p3,0,80,8
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.35,RS_0_1.p0,22,,,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.35,RS_0_0.p0,22,,,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.35,RS_0_0.p3,107,,,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.35,RS_0_0.p2,94,,,,
