Scenario Name,Ticks,Total Injected,Repair Injected,Delivered,Total Drops,Control Reports,Control Blocks,Repair Blocks,Retransmitted Reports,Total Waiting Offset Ticks,Pending Reports,Pending Repairs,Unrecovered Packets,Capacity,Buffer Limit,Tenant Rates,Collective CCTs
smoke__smart-recovery-max-rate__global-spread__g4__c1__p100__b16__s1,52,400,776,1200,776,1650,82.49999999999746,776,874,0,0,0,0,10,16,10|0|0|0,red:52
smoke__static-lossless-rate__global-spread__g4__c1__p100__b16__s1,37,400,0,1200,0,0,0,0,0,0,0,0,0,10,16,3.3333333333333335|0|0|0,red:37
smoke__intermediate-rate__global-spread__g4__c1__p100__b16__s1,56,400,578,1200,578,1086,54.29999999999905,578,508,0,0,0,0,10,16,6.666666666666667|0|0|0,red:56
smoke__member-formula-rate__global-spread__g4__c1__p100__b16__s1,37,400,0,1200,0,0,0,0,0,0,0,0,0,10,16,3.3333333333333335|0|0|0,red:37
smoke__sequential-smart-recovery__global-spread__g4__c1__p100__b16__s1,64,400,0,1200,0,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:64
smoke__phase-offset-smart-recovery__global-spread__g4__c1__p100__b16__s1,52,400,746,1200,746,1540,76.99999999999777,746,794,3,0,0,0,10,16,10|0|0|0,red:52
smoke__no-recovery-max-rate__global-spread__g4__c2__p100__b16__s1,17,800,0,848,1552,0,0,0,0,0,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__smart-recovery-max-rate__global-spread__g4__c2__p100__b16__s1,52,800,1552,2400,1552,3300,165.00000000000327,1552,1748,0,0,0,0,10,16,10|10|0|0,red:52|green:52
smoke__static-lossless-rate__global-spread__g4__c2__p100__b16__s1,37,800,0,2400,0,0,0,0,0,0,0,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:37|green:37
smoke__intermediate-rate__global-spread__g4__c2__p100__b16__s1,57,800,1156,2400,1156,2174,108.69999999999597,1156,1018,0,0,0,0,10,16,6.666666666666667|6.666666666666667|0|0,red:56|green:57
smoke__member-formula-rate__global-spread__g4__c2__p100__b16__s1,37,800,0,2400,0,0,0,0,0,0,0,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:37|green:37
smoke__sequential-smart-recovery__global-spread__g4__c2__p100__b16__s1,64,800,0,2400,0,0,0,0,0,0,0,0,0,10,16,10|10|0|0,red:64|green:64
smoke__phase-offset-smart-recovery__global-spread__g4__c2__p100__b16__s1,52,800,1452,2400,1452,2954,147.69999999999933,1452,1502,10,0,0,0,10,16,10|10|0|0,red:52|green:52
smoke__no-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,19,800,0,1136,1776,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__smart-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,118,800,3984,5600,3988,6237,311.85000000003663,3984,2431,0,0,0,0,10,16,10|0|0|0,red:118
smoke__static-lossless-rate__global-spread__g8__c1__p100__b16__s1,76,800,0,5600,0,0,0,0,0,0,0,0,0,10,16,1.4285714285714286|0|0|0,red:76
smoke__intermediate-rate__global-spread__g8__c1__p100__b16__s1,101,800,3516,5600,3516,6353,317.65000000003795,3516,3510,0,0,0,0,10,16,5.714285714285714|0|0|0,red:101
smoke__member-formula-rate__global-spread__g8__c1__p100__b16__s1,76,800,0,5600,0,0,0,0,0,0,0,0,0,10,16,1.4285714285714286|0|0|0,red:76
smoke__sequential-smart-recovery__global-spread__g8__c1__p100__b16__s1,128,800,0,5600,0,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:128
smoke__phase-offset-smart-recovery__global-spread__g8__c1__p100__b16__s1,99,800,3993,5600,3993,6002,300.10000000003396,3993,2184,7,0,0,0,10,16,10|0|0|0,red:99
smoke__no-recovery-max-rate__global-spread__g8__c2__p100__b16__s1,19,1600,0,1168,3904,0,0,0,0,0,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__smart-recovery-max-rate__global-spread__g8__c2__p100__b16__s1,296,1600,17974,11200,21043,29193,1459.6499999992202,17974,17075,0,0,0,0,10,16,10|10|0|0,red:295|green:296
smoke__static-lossless-rate__global-spread__g8__c2__p100__b16__s1,147,1600,0,11200,0,0,0,0,0,0,0,0,0,10,16,0.7142857142857143|0.7142857142857143|0|0,red:146|green:147
smoke__intermediate-rate__global-spread__g8__c2__p100__b16__s1,325,1600,16274,11200,18732,26912,1345.599999999324,16274,17401,0,0,0,0,10,16,5.357142857142857|5.357142857142857|0|0,red:325|green:325
smoke__member-formula-rate__global-spread__g8__c2__p100__b16__s1,465,1600,10772,11200,12135,16173,808.6499999998123,10772,10287,0,0,0,0,10,16,1.4285714285714286|1.4285714285714286|0|0,red:465|green:432
smoke__sequential-smart-recovery__global-spread__g8__c2__p100__b16__s1,467,1600,3762,11200,4406,8703,435.15000000006467,3762,4941,0,0,0,0,10,16,10|10|0|0,red:428|green:467
smoke__phase-offset-smart-recovery__global-spread__g8__c2__p100__b16__s1,425,1600,17813,11200,21373,29145,1457.2499999992224,17813,17924,22,0,0,0,10,16,10|10|0|0,red:299|green:425
smoke__no-recovery-max-rate__random-balanced__g4__c1__p100__b16__s1,18,400,0,488,524,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__smart-recovery-max-rate__random-balanced__g4__c1__p100__b16__s1,55,400,684,1200,684,1281,64.0499999999985,684,607,0,0,0,0,10,16,10|0|0|0,red:55
