Scenario Name,Policy,Placement,Group Size,Collective Count,Payload Blocks,Buffer Limit,Seed,Collective,Members,Max Load Factor,Recommended Lossless Rate,Combined Max Load Factor,Combined Recommended Uniform Rate,Bottleneck Links,Root Spine,Estimated Spine Blocks,Applied Host Offsets
smoke__phase-offset-smart-recovery__global-spread__g4__c2__p100__b16__s1,phase-offset-smart-recovery,global-spread,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,H_0_3:1|H_1_1:1|H_1_2:2|H_2_1:3|H_2_2:2|H_3_0:1
smoke__no-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,no-recovery-max-rate,global-spread,8,1,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,FS_0_0.p3<->RS_0_1.p0|RS_0_1.p3<->H_0_3.pU|FS_1_0.p2<->RS_1_0.p0|RS_1_0.p3<->H_1_1.pU|FS_1_0.p3<->RS_1_1.p0|RS_1_1.p2<->H_1_2.pU|FS_2_0.p2<->RS_2_0.p0|RS_2_0.p3<->H_2_1.pU|FS_2_0.p3<->RS_2_1.p0|RS_2_1.p2<->H_2_2.pU|FS_3_0.p2<->RS_3_0.p0|RS_3_0.p2<->H_3_0.pU|FS_3_0.p3<->RS_3_1.p0|RS_3_1.p3<->H_3_3.pU|FS_0_0.p2<->RS_0_0.p0|RS_0_0.p2<->H_0_0.pU,SS0,70,
smoke__no-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,no-recovery-max-rate,global-spread,8,1,100,16,1,green,0,0,0,7,1.4285714285714286,,,,
smoke__no-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,no-recovery-max-rate,global-spread,8,1,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__no-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,no-recovery-max-rate,global-spread,8,1,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__smart-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,smart-recovery-max-rate,global-spread,8,1,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,FS_0_0.p3<->RS_0_1.p0|RS_0_1.p3<->H_0_3.pU|FS_1_0.p2<->RS_1_0.p0|RS_1_0.p3<->H_1_1.pU|FS_1_0.p3<->RS_1_1.p0|RS_1_1.p2<->H_1_2.pU|FS_2_0.p2<->RS_2_0.p0|RS_2_0.p3<->H_2_1.pU|FS_2_0.p3<->RS_2_1.p0|RS_2_1.p2<->H_2_2.pU|FS_3_0.p2<->RS_3_0.p0|RS_3_0.p2<->H_3_0.pU|FS_3_0.p3<->RS_3_1.p0|RS_3_1.p3<->H_3_3.pU|FS_0_0.p2<->RS_0_0.p0|RS_0_0.p2<->H_0_0.pU,SS0,70,
smoke__smart-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,smart-recovery-max-rate,global-spread,8,1,100,16,1,green,0,0,0,7,1.4285714285714286,,,,
smoke__smart-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,smart-recovery-max-rate,global-spread,8,1,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__smart-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,smart-recovery-max-rate,global-spread,8,1,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__static-lossless-rate__global-spread__g8__c1__p100__b16__s1,static-lossless-rate,global-spread,8,1,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,FS_0_0.p3<->RS_0_1.p0|RS_0_1.p3<->H_0_3.pU|FS_1_0.p2<->RS_1_0.p0|RS_1_0.p3<->H_1_1.pU|FS_1_0.p3<->RS_1_1.p0|RS_1_1.p2<->H_1_2.pU|FS_2_0.p2<->RS_2_0.p0|RS_2_0.p3<->H_2_1.pU|FS_2_0.p3<->RS_2_1.p0|RS_2_1.p2<->H_2_2.pU|FS_3_0.p2<->RS_3_0.p0|RS_3_0.p2<->H_3_0.pU|FS_3_0.p3<->RS_3_1.p0|RS_3_1.p3<->H_3_3.pU|FS_0_0.p2<->RS_0_0.p0|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__static-lossless-rate__global-spread__g8__c1__p100__b16__s1,static-lossless-rate,global-spread,8,1,100,16,1,green,0,0,0,7,1.4285714285714286,,,,
smoke__static-lossless-rate__global-spread__g8__c1__p100__b16__s1,static-lossless-rate,global-spread,8,1,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__static-lossless-rate__global-spread__g8__c1__p100__b16__s1,static-lossless-rate,global-spread,8,1,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
