Scenario Name,Policy,Placement,Group Size,Collective Count,Payload Blocks,Buffer Limit,Seed,Collective,Members,Max Load Factor,Recommended Lossless Rate,Combined Max Load Factor,Combined Recommended Uniform Rate,Bottleneck Links,Root Spine,Estimated Spine Blocks,Applied Host Offsets
smoke__smart-recovery-max-rate__global-spread__g4__c2__p100__b16__s1,smart-recovery-max-rate,global-spread,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__static-lossless-rate__global-spread__g4__c2__p100__b16__s1,static-lossless-rate,global-spread,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,SS0.p1<->FS_1_0.p0|FS_1_0.p2<->RS_1_0.p0|RS_1_0.p3<->H_1_1.pU|SS0.p2<->FS_2_0.p0|FS_2_0.p3<->RS_2_1.p0|RS_2_1.p2<->H_2_2.pU|SS0.p3<->FS_3_0.p0|FS_3_0.p3<->RS_3_1.p0|RS_3_1.p3<->H_3_3.pU|SS0.p0<->FS_0_0.p0|FS_0_0.p2<->RS_0_0.p0|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__static-lossless-rate__global-spread__g4__c2__p100__b16__s1,static-lossless-rate,global-spread,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,SS1.p1<->FS_1_0.p1|FS_1_0.p3<->RS_1_1.p0|RS_1_1.p2<->H_1_2.pU|SS1.p2<->FS_2_0.p1|FS_2_0.p2<->RS_2_0.p0|RS_2_0.p3<->H_2_1.pU|SS1.p3<->FS_3_0.p1|FS_3_0.p2<->RS_3_0.p0|RS_3_0.p2<->H_3_0.pU|SS1.p0<->FS_0_0.p1|FS_0_0.p3<->RS_0_1.p0|RS_0_1.p3<->H_0_3.pU,SS1,10,
smoke__static-lossless-rate__global-spread__g4__c2__p100__b16__s1,static-lossless-rate,global-spread,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__static-lossless-rate__global-spread__g4__c2__p100__b16__s1,static-lossless-rate,global-spread,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__intermediate-rate__global-spread__g4__c2__p100__b16__s1,intermediate-rate,global-spread,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,SS0.p1<->FS_1_0.p0|FS_1_0.p2<->RS_1_0.p0|RS_1_0.p3<->H_1_1.pU|SS0.p2<->FS_2_0.p0|FS_2_0.p3<->RS_2_1.p0|RS_2_1.p2<->H_2_2.pU|SS0.p3<->FS_3_0.p0|FS_3_0.p3<->RS_3_1.p0|RS_3_1.p3<->H_3_3.pU|SS0.p0<->FS_0_0.p0|FS_0_0.p2<->RS_0_0.p0|RS_0_0.p2<->H_0_0.pU,SS0,20,
smoke__intermediate-rate__global-spread__g4__c2__p100__b16__s1,intermediate-rate,global-spread,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,SS1.p1<->FS_1_0.p1|FS_1_0.p3<->RS_1_1.p0|RS_1_1.p2<->H_1_2.pU|SS1.p2<->FS_2_0.p1|FS_2_0.p2<->RS_2_0.p0|RS_2_0.p3<->H_2_1.pU|SS1.p3<->FS_3_0.p1|FS_3_0.p2<->RS_3_0.p0|RS_3_0.p2<->H_3_0.pU|SS1.p0<->FS_0_0.p1|FS_0_0.p3<->RS_0_1.p0|RS_0_1.p3<->H_0_3.pU,SS1,20,
smoke__intermediate-rate__global-spread__g4__c2__p100__b16__s1,intermediate-rate,global-spread,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__intermediate-rate__global-spread__g4__c2__p100__b16__s1,intermediate-rate,global-spread,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__member-formula-rate__global-spread__g4__c2__p100__b16__s1,member-formula-rate,global-spread,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,SS0.p1<->FS_1_0.p0|FS_1_0.p2<->RS_1_0.p0|RS_1_0.p3<->H_1_1.pU|SS0.p2<->FS_2_0.p0|FS_2_0.p3<->RS_2_1.p0|RS_2_1.p2<->H_2_2.pU|SS0.p3<->FS_3_0.p0|FS_3_0.p3<->RS_3_1.p0|RS_3_1.p3<->H_3_3.pU|SS0.p0<->FS_0_0.p0|FS_0_0.p2<->RS_0_0.p0|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__member-formula-rate__global-spread__g4__c2__p100__b16__s1,member-formula-rate,global-spread,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,SS1.p1<->FS_1_0.p1|FS_1_0.p3<->RS_1_1.p0|RS_1_1.p2<->H_1_2.pU|SS1.p2<->FS_2_0.p1|FS_2_0.p2<->RS_2_0.p0|RS_2_0.p3<->H_2_1.pU|SS1.p3<->FS_3_0.p1|FS_3_0.p2<->RS_3_0.p0|RS_3_0.p2<->H_3_0.pU|SS1.p0<->FS_0_0.p1|FS_0_0.p3<->RS_0_1.p0|RS_0_1.p3<->H_0_3.pU,SS1,10,
smoke__member-formula-rate__global-spread__g4__c2__p100__b16__s1,member-formula-rate,global-spread,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__member-formula-rate__global-spread__g4__c2__p100__b16__s1,member-formula-rate,global-spread,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__sequential-smart-recovery__global-spread__g4__c2__p100__b16__s1,sequential-smart-recovery,global-spread,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,SS0.p1<->FS_1_0.p0|FS_1_0.p2<->RS_1_0.p0|RS_1_0.p3<->H_1_1.pU|SS0.p2<->FS_2_0.p0|FS_2_0.p3<->RS_2_1.p0|RS_2_1.p2<->H_2_2.pU|SS0.p3<->FS_3_0.p0|FS_3_0.p3<->RS_3_1.p0|RS_3_1.p3<->H_3_3.pU|SS0.p0<->FS_0_0.p0|FS_0_0.p2<->RS_0_0.p0|RS_0_0.p2<->H_0_0.pU,SS0,30,
smoke__sequential-smart-recovery__global-spread__g4__c2__p100__b16__s1,sequential-smart-recovery,global-spread,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,SS1.p1<->FS_1_0.p1|FS_1_0.p3<->RS_1_1.p0|RS_1_1.p2<->H_1_2.pU|SS1.p2<->FS_2_0.p1|FS_2_0.p2<->RS_2_0.p0|RS_2_0.p3<->H_2_1.pU|SS1.p3<->FS_3_0.p1|FS_3_0.p2<->RS_3_0.p0|RS_3_0.p2<->H_3_0.pU|SS1.p0<->FS_0_0.p1|FS_0_0.p3<->RS_0_1.p0|RS_0_1.p3<->H_0_3.pU,SS1,30,
smoke__sequential-smart-recovery__global-spread__g4__c2__p100__b16__s1,sequential-smart-recovery,global-spread,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__sequential-smart-recovery__global-spread__g4__c2__p100__b16__s1,sequential-smart-recovery,global-spread,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__phase-offset-smart-recovery__global-spread__g4__c2__p100__b16__s1,phase-offset-smart-recovery,global-spread,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,SS0.p1<->FS_1_0.p0|FS_1_0.p2<->RS_1_0.p0|RS_1_0.p3<->H_1_1.pU|SS0.p2<->FS_2_0.p0|FS_2_0.p3<->RS_2_1.p0|RS_2_1.p2<->H_2_2.pU|SS0.p3<->FS_3_0.p0|FS_3_0.p3<->RS_3_1.p0|RS_3_1.p3<->H_3_3.pU|SS0.p0<->FS_0_0.p0|FS_0_0.p2<->RS_0_0.p0|RS_0_0.p2<->H_0_0.pU,SS0,30,H_0_3:1|H_1_1:1|H_1_2:2|H_2_1:3|H_2_2:2|H_3_0:1
smoke__phase-offset-smart-recovery__global-spread__g4__c2__p100__b16__s1,phase-offset-smart-recovery,global-spread,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,SS1.p1<->FS_1_0.p1|FS_1_0.p3<->RS_1_1.p0|RS_1_1.p2<->H_1_2.pU|SS1.p2<->FS_2_0.p1|FS_2_0.p2<->RS_2_0.p0|RS_2_0.p3<->H_2_1.pU|SS1.p3<->FS_3_0.p1|FS_3_0.p2<->RS_3_0.p0|RS_3_0.p2<->H_3_0.pU|SS1.p0<->FS_0_0.p1|FS_0_0.p3<->RS_0_1.p0|RS_0_1.p3<->H_0_3.pU,SS1,30,H_0_3:1|H_1_1:1|H_1_2:2|H_2_1:3|H_2_2:2|H_3_0:1
smoke__phase-offset-smart-recovery__global-spread__g4__c2__p100__b16__s1,phase-offset-smart-recovery,global-spread,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,H_0_3:1|H_1_1:1|H_1_2:2|H_2_1:3|H_2_2:2|H_3_0:1
