Scenario Name,Policy,Placement,Group Size,Collective Count,Payload Blocks,Buffer Limit,Seed,Collective,Members,Max Load Factor,Recommended Lossless Rate,Combined Max Load Factor,Combined Recommended Uniform Rate,Per Source Recommended Rates,Overdrive Alpha,Bottleneck Links,Root Spine,Estimated Spine Blocks,Applied Host Offsets
smoke__advisor-overdrive-a2.00__rack-compact__g4__c1__p100__b16__s1,advisor-overdrive-a2.00,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,2,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,20,
smoke__advisor-overdrive-a2.00__rack-compact__g4__c1__p100__b16__s1,advisor-overdrive-a2.00,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,2,,,,
smoke__advisor-overdrive-a2.00__rack-compact__g4__c1__p100__b16__s1,advisor-overdrive-a2.00,rack-compact,4,1,100,16,1,blue,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,2,,,,
smoke__advisor-overdrive-a2.00__rack-compact__g4__c1__p100__b16__s1,advisor-overdrive-a2.00,rack-compact,4,1,100,16,1,orange,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,2,,,,
smoke__per-source-lossless__rack-compact__g4__c1__p100__b16__s1,per-source-lossless,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__per-source-lossless__rack-compact__g4__c1__p100__b16__s1,per-source-lossless,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,,,,,
smoke__per-source-lossless__rack-compact__g4__c1__p100__b16__s1,per-source-lossless,rack-compact,4,1,100,16,1,blue,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,,,,,
smoke__per-source-lossless__rack-compact__g4__c1__p100__b16__s1,per-source-lossless,rack-compact,4,1,100,16,1,orange,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,,,,,
smoke__adaptive-advisor-overdrive__rack-compact__g4__c1__p100__b16__s1,adaptive-advisor-overdrive,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,1.2,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__adaptive-advisor-overdrive__rack-compact__g4__c1__p100__b16__s1,adaptive-advisor-overdrive,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,1.2,,,,
