Dimension,Label,Runs,Complete Runs,Completion Rate,Avg CCT,FCT p50,FCT p95,FCT p99,Avg Drops,Avg Repairs,Avg Control Reports,Avg Report Retries,Drops Per Block,Repairs Per Block,Avg Original TX Complete Tick,Avg Post TX Tail Ticks,Avg Recovery Tail Ticks,Avg Waiting Offset Ticks,Avg Hot Ticks,Recovery p95
policy+placement,"policy=advisor-overdrive-a1.05, placement=random-balanced",4,4,1.0000,84.33,139,146,151,210.50,210.50,212.25,34.75,0.190000,0.190000,64.75,14.00,14.00,0.00,697.75,122
policy+placement,"policy=advisor-overdrive-a1.05, placement=global-spread",4,4,1.0000,85.83,139,147,152,249.50,249.50,254.25,46.25,0.214063,0.214063,64.75,15.00,15.00,0.00,873.00,122
policy+placement,"policy=advisor-overdrive-a1.10, placement=random-balanced",4,4,1.0000,88.33,133,148,160,450.50,447.50,538.50,160.00,0.417188,0.415312,62.00,21.00,21.00,0.00,719.50,122
policy+placement,"policy=advisor-overdrive-a1.20, placement=random-balanced",4,4,1.0000,91.33,122,150,158,917.75,908.75,1202.50,476.25,0.837812,0.832187,56.50,31.50,31.50,0.00,801.50,120
policy+placement,"policy=advisor-overdrive-a1.10, placement=global-spread",4,4,1.0000,95.67,133,151,163,523.00,523.00,638.75,205.50,0.461250,0.461250,62.00,29.25,29.25,0.00,895.75,123
policy+placement,"policy=advisor-overdrive-a1.20, placement=global-spread",4,4,1.0000,100.50,123,157,183,1103.75,1090.25,1378.50,526.75,0.953281,0.944844,56.50,35.75,35.75,0.00,976.50,125
policy+placement,"policy=advisor-overdrive-a1.35, placement=random-balanced",4,4,1.0000,119.67,109,169,233,1596.50,1502.00,2243.00,1077.75,1.427969,1.368906,50.50,60.75,60.75,0.00,891.25,135
policy+placement,"policy=max-rate-recovery, placement=random-balanced",4,4,1.0000,122.00,86,183,299,6050.00,5464.50,8829.50,4549.75,4.836094,4.469844,10.00,116.50,116.50,0.00,1393.75,145
policy+placement,"policy=advisor-overdrive-a1.35, placement=global-spread",4,4,1.0000,127.17,110,179,243,2001.25,1732.50,2697.75,1371.75,1.667188,1.499219,50.50,65.50,65.50,0.00,1072.75,170
policy+placement,"policy=advisor-overdrive-a1.50, placement=random-balanced",4,4,1.0000,144.17,99,179,256,2057.25,1968.75,3032.50,1601.00,1.807187,1.751875,45.25,97.25,97.25,0.00,996.00,173
policy+placement,"policy=max-rate-recovery, placement=global-spread",4,4,1.0000,144.17,97,292,295,6839.75,6071.50,10095.00,5532.00,5.504219,5.023438,10.00,119.50,119.50,0.00,1593.75,163
policy+placement,"policy=member-formula-rate, placement=random-balanced",4,4,1.0000,155.50,77,259,344,2370.75,2200.00,3027.50,1857.75,1.481719,1.375000,50.00,89.25,84.50,0.00,1217.25,215
policy+placement,"policy=advisor-overdrive-a1.50, placement=global-spread",4,4,1.0000,167.50,100,237,353,2466.50,2288.00,3762.50,2093.25,2.076406,1.964844,45.25,102.50,102.50,0.00,1166.50,196
policy+placement,"policy=advisor-overdrive-a2.00, placement=random-balanced",4,4,1.0000,170.83,78,259,344,3372.25,3201.50,4910.75,2877.50,2.905469,2.798750,33.75,126.00,126.00,0.00,1305.50,215
policy+placement,"policy=member-formula-rate, placement=global-spread",4,4,1.0000,180.67,77,378,465,3033.75,2693.00,4043.25,2571.75,1.896094,1.683125,50.00,103.75,98.75,0.00,1350.50,230
policy+placement,"policy=advisor-overdrive-a2.00, placement=global-spread",4,4,1.0000,197.83,87,378,465,4066.25,3725.50,5931.75,3515.75,3.367344,3.154375,33.75,141.00,141.00,0.00,1412.25,230
policy+placement,"policy=no-recovery-max-rate, placement=global-spread",4,0,0.0000,,18,18,18,2002.00,0.00,0.00,0.00,2.135000,0.000000,10.00,0.00,0.00,0.00,301.00,
policy+placement,"policy=no-recovery-max-rate, placement=rack-compact",4,0,0.0000,,19,19,19,1473.00,0.00,0.00,0.00,1.530000,0.000000,10.00,0.00,0.00,0.00,223.50,
policy+placement,"policy=no-recovery-max-rate, placement=random-balanced",4,0,0.0000,,18,19,19,1737.50,0.00,0.00,0.00,1.760312,0.000000,10.00,0.00,0.00,0.00,292.75,
policy+groupSize,"policy=advisor-exact-lossless, groupSize=4",6,6,1.0000,35.67,36,36,37,0.00,0.00,0.00,0.00,0.000000,0.000000,30.00,5.67,0.00,0.00,354.83,
policy+groupSize,"policy=per-source-lossless, groupSize=4",6,6,1.0000,35.67,36,36,37,0.00,0.00,0.00,0.00,0.000000,0.000000,30.00,5.67,0.00,0.00,354.83,
policy+groupSize,"policy=member-formula-rate, groupSize=4",6,6,1.0000,35.67,36,36,37,0.00,0.00,0.00,0.00,0.000000,0.000000,30.00,5.67,0.00,0.00,354.83,
policy+groupSize,"policy=adaptive-advisor-overdrive, groupSize=4",6,6,1.0000,36.56,36,36,41,0.67,0.67,0.67,0.00,0.000833,0.000833,30.00,7.17,3.83,0.00,360.33,33
policy+groupSize,"policy=advisor-overdrive-a1.05, groupSize=4",6,6,1.0000,39.56,35,44,44,46.00,46.00,48.00,2.00,0.076458,0.076458,29.00,10.83,10.83,0.00,354.33,26
policy+groupSize,"policy=advisor-overdrive-a1.10, groupSize=4",6,6,1.0000,40.44,34,46,46,120.00,120.00,147.00,27.00,0.200417,0.200417,28.00,13.00,13.00,0.00,359.17,29
policy+groupSize,"policy=advisor-overdrive-a1.20, groupSize=4",6,6,1.0000,42.78,32,51,51,252.00,252.00,346.00,94.00,0.420833,0.420833,25.00,18.67,18.67,0.00,363.33,31
policy+groupSize,"policy=advisor-overdrive-a1.35, groupSize=4",6,6,1.0000,45.89,29,56,56,410.17,410.17,597.50,187.33,0.683125,0.683125,23.00,24.33,24.33,0.00,389.83,36
policy+groupSize,"policy=max-rate-recovery, groupSize=4",6,6,1.0000,46.89,36,52,55,1013.00,1013.00,1736.50,726.83,1.698750,1.698750,10.00,38.00,38.00,0.00,432.00,37
policy+groupSize,"policy=advisor-overdrive-a1.50, groupSize=4",6,6,1.0000,48.33,27,61,61,526.00,526.00,826.00,300.00,0.879167,0.879167,20.00,30.00,30.00,0.00,405.33,39
policy+groupSize,"policy=advisor-overdrive-a2.00, groupSize=4",6,6,1.0000,48.89,37,57,57,766.50,766.50,1223.67,477.17,1.287292,1.287292,15.00,35.17,35.17,0.00,394.17,41
policy+groupSize,"policy=advisor-exact-lossless, groupSize=8",6,6,1.0000,107.44,76,146,147,0.00,0.00,0.00,0.00,0.000000,0.000000,93.33,6.50,0.00,0.00,990.17,
policy+groupSize,"policy=per-source-lossless, groupSize=8",6,6,1.0000,107.44,76,146,147,0.00,0.00,0.00,0.00,0.000000,0.000000,93.33,6.50,0.00,0.00,990.17,
policy+groupSize,"policy=adaptive-advisor-overdrive, groupSize=8",6,6,1.0000,108.44,76,146,148,13.17,13.17,13.17,0.00,0.010208,0.010208,93.33,7.33,6.33,0.00,1004.83,141
policy+groupSize,"policy=advisor-overdrive-a1.05, groupSize=8",6,6,1.0000,110.67,76,146,151,424.67,424.67,427.00,52.00,0.336250,0.336250,89.33,13.33,13.33,0.00,1077.50,122
policy+groupSize,"policy=advisor-overdrive-a1.10, groupSize=8",6,6,1.0000,119.22,77,149,161,798.00,796.00,906.83,216.67,0.638646,0.637396,85.33,26.83,26.83,0.00,1117.17,123
policy+groupSize,"policy=advisor-overdrive-a1.20, groupSize=8",6,6,1.0000,124.33,78,152,159,1588.50,1573.50,1875.17,582.33,1.253125,1.243750,78.33,37.50,37.50,0.00,1282.17,125
policy+groupSize,"policy=advisor-overdrive-a1.35, groupSize=8",6,6,1.0000,157.33,81,171,233,2813.67,2571.50,3804.17,1728.17,2.175729,2.024375,69.33,73.67,73.67,0.00,1398.00,170
policy+groupSize,"policy=max-rate-recovery, groupSize=8",6,6,1.0000,171.22,83,286,295,10325.17,9418.67,14793.17,7201.33,7.737500,7.169271,10.00,153.33,153.33,0.00,2071.67,163
policy+groupSize,"policy=advisor-overdrive-a1.50, groupSize=8",6,6,1.0000,198.56,83,194,278,3562.83,3384.83,5193.17,2618.00,2.743958,2.632708,62.67,120.00,120.00,0.00,1535.83,196
policy+groupSize,"policy=member-formula-rate, groupSize=8",6,6,1.0000,225.11,76,334,432,3603.00,3262.00,4713.83,2953.00,2.251875,2.038750,70.00,126.33,122.17,0.00,1714.17,230
policy+groupSize,"policy=advisor-overdrive-a2.00, groupSize=8",6,6,1.0000,237.11,81,334,432,5837.17,5495.83,8496.83,4779.17,4.449687,4.236146,46.67,166.33,166.33,0.00,1930.67,230
policy+groupSize,"policy=no-recovery-max-rate, groupSize=4",6,0,0.0000,,17,18,18,878.67,0.00,0.00,0.00,1.470000,0.000000,10.00,0.00,0.00,0.00,189.83,
policy+groupSize,"policy=no-recovery-max-rate, groupSize=8",6,0,0.0000,,18,19,19,2596.33,0.00,0.00,0.00,2.146875,0.000000,10.00,0.00,0.00,0.00,355.00,
policy+collectiveCount,"policy=advisor-exact-lossless, collectiveCount=1",6,6,1.0000,56.00,76,76,76,0.00,0.00,0.00,0.00,0.000000,0.000000,50.00,6.00,0.00,0.00,586.17,
policy+collectiveCount,"policy=per-source-lossless, collectiveCount=1",6,6,1.0000,56.00,76,76,76,0.00,0.00,0.00,0.00,0.000000,0.000000,50.00,6.00,0.00,0.00,586.17,
