Scenario Name,Ticks,Total Injected,Repair Injected,Delivered,Total Drops,Control Reports,Control Blocks,Repair Blocks,Retransmitted Reports,Total Waiting Offset Ticks,Pending Reports,Pending Repairs,Unrecovered Packets,Drops Per Original Block,Repairs Per Original Block,Original TX Complete Tick,Post TX Tail Ticks,Recovery Tail Ticks,Last Repair Completed Tick,Capacity,Buffer Limit,Tenant Rates,Collective CCTs
smoke__advisor-exact-lossless__random-balanced__g8__c1__p100__b16__s1,77,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,7,0,0,10,16,1.4285714285714286|0|0|0,red:77
smoke__advisor-overdrive-a1.05__random-balanced__g8__c1__p100__b16__s1,82,800,224,5600,224,231,11.55000000000003,224,7,0,0,0,0,0.28,0.28,67,14,14,81,10,16,1.5|0|0|0,red:81
smoke__advisor-overdrive-a1.10__random-balanced__g8__c1__p100__b16__s1,85,800,467,5600,467,592,29.600000000000286,467,128,0,0,0,0,0.58375,0.58375,64,21,21,85,10,16,1.5714285714285716|0|0|0,red:85
smoke__advisor-overdrive-a1.20__random-balanced__g8__c1__p100__b16__s1,94,800,843,5600,843,1328,66.39999999999837,843,507,0,0,0,0,1.05375,1.05375,59,35,35,94,10,16,1.7142857142857142|0|0|0,red:94
smoke__advisor-overdrive-a1.35__random-balanced__g8__c1__p100__b16__s1,99,800,1381,5600,1381,2382,119.09999999999538,1381,1097,0,0,0,0,1.72625,1.72625,52,47,47,99,10,16,1.9285714285714288|0|0|0,red:99
smoke__advisor-overdrive-a1.50__random-balanced__g8__c1__p100__b16__s1,103,800,1613,5600,1613,2827,141.3499999999979,1613,1386,0,0,0,0,2.01625,2.01625,47,56,56,103,10,16,2.142857142857143|0|0|0,red:103
smoke__advisor-overdrive-a2.00__random-balanced__g8__c1__p100__b16__s1,117,800,2498,5600,2498,5081,254.05000000002352,2498,3015,0,0,0,0,3.1225,3.1225,35,82,82,117,10,16,2.857142857142857|0|0|0,red:117
smoke__per-source-lossless__random-balanced__g8__c1__p100__b16__s1,77,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,7,0,0,10,16,1.4285714285714286|0|0|0,red:77
smoke__adaptive-advisor-overdrive__random-balanced__g8__c1__p100__b16__s1,76,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,10,16,1.4285714285714286|0|0|0,red:76
smoke__max-rate-recovery__random-balanced__g8__c1__p100__b16__s1,94,800,3479,5600,3481,5549,277.4500000000288,3479,2213,0,0,0,0,4.35125,4.34875,10,84,84,94,10,16,10|0|0|0,red:94
smoke__member-formula-rate__random-balanced__g8__c1__p100__b16__s1,77,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,7,0,0,10,16,1.4285714285714286|0|0|0,red:77
smoke__no-recovery-max-rate__random-balanced__g8__c1__p100__b16__s1,19,800,0,1172,1776,0,0,0,0,0,0,0,0,2.22,0,10,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__advisor-exact-lossless__random-balanced__g8__c2__p100__b16__s1,147,1600,0,11200,0,0,0,0,0,0,0,0,0,0,0,140,7,0,0,10,16,0.7142857142857143|0.7142857142857143|0|0,red:146|green:147
smoke__advisor-overdrive-a1.05__random-balanced__g8__c2__p100__b16__s1,152,1600,530,11200,530,530,26.50000000000024,530,132,0,0,0,0,0.33125,0.33125,134,18,18,152,10,16,0.75|0.75|0|0,red:152|green:152
smoke__advisor-overdrive-a1.10__random-balanced__g8__c2__p100__b16__s1,161,1600,1084,11200,1096,1260,62.99999999999856,1084,449,0,0,0,0,0.685,0.6775,128,33,33,161,10,16,0.7857142857142858|0.7857142857142858|0|0,red:160|green:161
smoke__advisor-overdrive-a1.20__random-balanced__g8__c2__p100__b16__s1,166,1600,2288,11200,2324,2762,138.09999999999715,2288,1182,0,0,0,0,1.4525,1.43,117,49,49,166,10,16,0.8571428571428571|0.8571428571428571|0|0,red:166|green:158
smoke__advisor-overdrive-a1.35__random-balanced__g8__c2__p100__b16__s1,244,1600,3801,11200,4179,5312,265.6000000000261,3801,2762,0,0,0,0,2.611875,2.375625,104,140,140,244,10,16,0.9642857142857144|0.9642857142857144|0|0,red:244|green:234
smoke__advisor-overdrive-a1.50__random-balanced__g8__c2__p100__b16__s1,359,1600,5242,11200,5596,7665,383.25000000005286,5242,4400,0,0,0,0,3.4975,3.27625,94,265,265,359,10,16,1.0714285714285714|1.0714285714285714|0|0,red:359|green:256
smoke__advisor-overdrive-a2.00__random-balanced__g8__c2__p100__b16__s1,408,1600,8800,11200,9483,12110,605.499999999997,8800,7431,0,0,0,0,5.926875,5.5,70,338,338,408,10,16,1.4285714285714286|1.4285714285714286|0|0,red:340|green:408
smoke__per-source-lossless__random-balanced__g8__c2__p100__b16__s1,147,1600,0,11200,0,0,0,0,0,0,0,0,0,0,0,140,7,0,0,10,16,0.7142857142857143|0.7142857142857143|0|0,red:146|green:147
smoke__adaptive-advisor-overdrive__random-balanced__g8__c2__p100__b16__s1,148,1600,21,11200,21,21,1.0500000000000003,21,0,0,0,0,0,0.013125,0.013125,140,8,8,148,10,16,0.7142857142857143|0.7142857142857143|0|0,red:148|green:148
smoke__max-rate-recovery__random-balanced__g8__c2__p100__b16__s1,302,1600,16477,11200,18817,26460,1322.9999999993445,16477,14559,0,0,0,0,11.760625,10.298125,10,292,292,302,10,16,10|10|0|0,red:181|green:302
smoke__member-formula-rate__random-balanced__g8__c2__p100__b16__s1,408,1600,8800,11200,9483,12110,605.499999999997,8800,7431,0,0,0,0,5.926875,5.5,70,338,338,408,10,16,1.4285714285714286|1.4285714285714286|0|0,red:340|green:408
smoke__no-recovery-max-rate__random-balanced__g8__c2__p100__b16__s1,19,1600,0,1546,3682,0,0,0,0,0,0,0,0,2.30125,0,10,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
