Scenario Name,Policy,Placement,Group Size,Collective Count,Payload Blocks,Buffer Limit,Seed,Collective,Members,Max Load Factor,Recommended Lossless Rate,Combined Max Load Factor,Combined Recommended Uniform Rate,Bottleneck Links,Root Spine,Estimated Spine Blocks,Applied Host Offsets
smoke__no-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,4,1,100,16,1,red,4,3,3,3,3,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,
smoke__no-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,4,1,100,16,1,green,0,0,0,3,3,,,,
smoke__no-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,4,1,100,16,1,blue,0,0,0,3,3,,,,
smoke__no-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,4,1,100,16,1,orange,0,0,0,3,3,,,,
smoke__smart-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,1,100,16,1,red,4,3,3,3,3,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,
smoke__smart-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,1,100,16,1,green,0,0,0,3,3,,,,
smoke__smart-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,1,100,16,1,blue,0,0,0,3,3,,,,
smoke__smart-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,1,100,16,1,orange,0,0,0,3,3,,,,
smoke__static-lossless-rate__rack-compact__g4__c1__p100__b16__s1,static-lossless-rate,rack-compact,4,1,100,16,1,red,4,3,3,3,3,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,9,
smoke__static-lossless-rate__rack-compact__g4__c1__p100__b16__s1,static-lossless-rate,rack-compact,4,1,100,16,1,green,0,0,0,3,3,,,,
smoke__static-lossless-rate__rack-compact__g4__c1__p100__b16__s1,static-lossless-rate,rack-compact,4,1,100,16,1,blue,0,0,0,3,3,,,,
smoke__static-lossless-rate__rack-compact__g4__c1__p100__b16__s1,static-lossless-rate,rack-compact,4,1,100,16,1,orange,0,0,0,3,3,,,,
smoke__intermediate-rate__rack-compact__g4__c1__p100__b16__s1,intermediate-rate,rack-compact,4,1,100,16,1,red,4,3,3,3,3,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,21,
smoke__intermediate-rate__rack-compact__g4__c1__p100__b16__s1,intermediate-rate,rack-compact,4,1,100,16,1,green,0,0,0,3,3,,,,
smoke__intermediate-rate__rack-compact__g4__c1__p100__b16__s1,intermediate-rate,rack-compact,4,1,100,16,1,blue,0,0,0,3,3,,,,
smoke__intermediate-rate__rack-compact__g4__c1__p100__b16__s1,intermediate-rate,rack-compact,4,1,100,16,1,orange,0,0,0,3,3,,,,
smoke__member-formula-rate__rack-compact__g4__c1__p100__b16__s1,member-formula-rate,rack-compact,4,1,100,16,1,red,4,3,3,3,3,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,9,
smoke__member-formula-rate__rack-compact__g4__c1__p100__b16__s1,member-formula-rate,rack-compact,4,1,100,16,1,green,0,0,0,3,3,,,,
smoke__member-formula-rate__rack-compact__g4__c1__p100__b16__s1,member-formula-rate,rack-compact,4,1,100,16,1,blue,0,0,0,3,3,,,,
smoke__member-formula-rate__rack-compact__g4__c1__p100__b16__s1,member-formula-rate,rack-compact,4,1,100,16,1,orange,0,0,0,3,3,,,,
smoke__sequential-smart-recovery__rack-compact__g4__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,4,1,100,16,1,red,4,3,3,3,3,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,
smoke__sequential-smart-recovery__rack-compact__g4__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,4,1,100,16,1,green,0,0,0,3,3,,,,
smoke__sequential-smart-recovery__rack-compact__g4__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,4,1,100,16,1,blue,0,0,0,3,3,,,,
smoke__sequential-smart-recovery__rack-compact__g4__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,4,1,100,16,1,orange,0,0,0,3,3,,,,
smoke__phase-offset-smart-recovery__rack-compact__g4__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,1,100,16,1,red,4,3,3,3,3,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,H_0_1:1|H_0_2:2
smoke__phase-offset-smart-recovery__rack-compact__g4__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,1,100,16,1,green,0,0,0,3,3,,,,H_0_1:1|H_0_2:2
smoke__phase-offset-smart-recovery__rack-compact__g4__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,1,100,16,1,blue,0,0,0,3,3,,,,H_0_1:1|H_0_2:2
smoke__phase-offset-smart-recovery__rack-compact__g4__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,1,100,16,1,orange,0,0,0,3,3,,,,H_0_1:1|H_0_2:2
smoke__no-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,no-recovery-max-rate,rack-compact,4,2,100,16,1,red,4,3,3,3,3,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,
smoke__no-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,no-recovery-max-rate,rack-compact,4,2,100,16,1,green,4,3,3,3,3,RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_1_0.p2<->H_1_0.pU,SS1,30,
smoke__no-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,no-recovery-max-rate,rack-compact,4,2,100,16,1,blue,0,0,0,3,3,,,,
