dimension,key,runs,completeRuns,wins,ties,losses,winRate,wilsonLow,wilsonHigh,meanDelta,medianDelta,medianRelativeDelta,meanBootstrapLow,meanBootstrapHigh,medianBootstrapLow,medianBootstrapHigh,p99WithinTenPercent,relevant
capacity,adaptive-advisor-overdrive||10,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.023255813953488372,-1,-1,-1,-1,true,false
overall,max-rate-recovery,2,2,0,1,1,0,0,0.6576280471103807,3.5,0,0,0,7,0,7,false,false
placement,max-rate-recovery||rack-compact,1,1,0,0,1,0,0,0.7934567085261071,7,7,0.16279069767441862,7,7,7,7,false,false
profile,max-rate-recovery||4,1,1,0,0,1,0,0,0.7934567085261071,7,7,0.16279069767441862,7,7,7,7,false,false
payload,max-rate-recovery||100,2,2,0,1,1,0,0,0.6576280471103807,3.5,0,0,0,7,0,7,false,false
buffer,max-rate-recovery||8,1,1,0,0,1,0,0,0.7934567085261071,7,7,0.16279069767441862,7,7,7,7,false,false
capacity,max-rate-recovery||10,1,1,0,0,1,0,0,0.7934567085261071,7,7,0.16279069767441862,7,7,7,7,false,false
overall,member-formula-rate,4,4,0,4,0,0,0,0.48990002040399916,0,0,0,0,0,0,0,true,false
placement,member-formula-rate||rack-compact,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
profile,member-formula-rate||4,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
payload,member-formula-rate||100,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
buffer,member-formula-rate||8,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
capacity,member-formula-rate||10,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,no-recovery-max-rate,2,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
placement,no-recovery-max-rate||rack-compact,1,0,0,0,0,,,,,,,,,,,true,false
profile,no-recovery-max-rate||4,1,0,0,0,0,,,,,,,,,,,true,false
payload,no-recovery-max-rate||100,2,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
buffer,no-recovery-max-rate||8,1,0,0,0,0,,,,,,,,,,,true,false
capacity,no-recovery-max-rate||10,1,0,0,0,0,,,,,,,,,,,true,false
overall,adaptive-lhs-01,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
placement,adaptive-lhs-01||random-balanced,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
profile,adaptive-lhs-01||4,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
payload,adaptive-lhs-01||100,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
buffer,adaptive-lhs-01||16,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
capacity,adaptive-lhs-01||10,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
overall,adaptive-lhs-02,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
placement,adaptive-lhs-02||random-balanced,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
profile,adaptive-lhs-02||4,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
payload,adaptive-lhs-02||100,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
buffer,adaptive-lhs-02||16,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
capacity,adaptive-lhs-02||10,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
overall,adaptive-lhs-03,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
placement,adaptive-lhs-03||random-balanced,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
profile,adaptive-lhs-03||4,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
payload,adaptive-lhs-03||100,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
buffer,adaptive-lhs-03||16,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
capacity,adaptive-lhs-03||10,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-04,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
placement,adaptive-lhs-04||random-balanced,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
profile,adaptive-lhs-04||4,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
payload,adaptive-lhs-04||100,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
buffer,adaptive-lhs-04||16,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
capacity,adaptive-lhs-04||10,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-05,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
placement,adaptive-lhs-05||random-balanced,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
profile,adaptive-lhs-05||4,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
payload,adaptive-lhs-05||100,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
buffer,adaptive-lhs-05||16,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
capacity,adaptive-lhs-05||10,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
overall,adaptive-lhs-06,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
placement,adaptive-lhs-06||random-balanced,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
profile,adaptive-lhs-06||4,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
payload,adaptive-lhs-06||100,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
buffer,adaptive-lhs-06||16,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
capacity,adaptive-lhs-06||10,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-07,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
placement,adaptive-lhs-07||random-balanced,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
profile,adaptive-lhs-07||4,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
payload,adaptive-lhs-07||100,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
buffer,adaptive-lhs-07||16,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
capacity,adaptive-lhs-07||10,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-08,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
placement,adaptive-lhs-08||random-balanced,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
profile,adaptive-lhs-08||4,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
